,title,genres,rating,rating_voters,season,studio,origin,pg,type,episode_count
521,Космический линкор Тирамису 2,Комедия;Космос;Меха;Повседневность;Фантастика,5.5,106.0,Осень 2018,Gonzo,ТВ Сериал,16+,ТВ Сериал,13
522,Судьба/Дополнение: Последний вызов на бис,Магия;Фэнтези;Экшен,7.0,499.0,Зима 2018,SHAFT,ТВ Сериал,18+,ТВ Сериал,10
523,Фантом,Драма;Сёнэн;Экшен,7.2,165.0,,Arcs Create,OVA,18+,OVA,3
524,Атом: Начало,Меха;Сэйнэн;Фантастика;Экшен,7.1,135.0,Весна 2017,Oriental Light and Magic,ТВ Сериал,16+,ТВ Сериал,12
525,Как воспитать героиню из обычной девушки: Пилотный эпизод,Гарем;Комедия;Романтика;Этти,7.7,628.0,,A-1 Pictures Inc.,Спешл,16+,Спешл,1
526,Мой «комплекс братика» морали не остановить! — Спешлы,Комедия;Этти,6.8,565.0,,Silver Link,Спешл,18+,Спешл,6
527,Фабрика иллюзий Алисы и Терезы,Драма,8.5,1607.0,,MAPPA,Фильм,16+,Фильм,1
528,Твоя апрельская ложь,Драма;Музыка;Романтика;Сёнэн;Школа,9.1,11676.0,Осень 2014,A-1 Pictures Inc.,ТВ Сериал,16+,ТВ Сериал,22
529,Валькирия и любовь,Гарем;Комедия;Романтика;Сверхъестественное;Сёнэн;Школа;Этти,6.8,1272.0,Осень 2019,Hoods Entertainment,ТВ Сериал,18+,ТВ Сериал,12
530,Синий экзорцист: Путешествие Куро,Демоны;Сверхъестественное;Сёнэн;Фэнтези;Экшен,8.6,1592.0,,A-1 Pictures Inc.,Спешл,16+,Спешл,1
531,Фи Брейн: Загадка Бога,Детектив;Игры;Сёнэн;Экшен,7.7,277.0,Осень 2011,Sunrise,ТВ Сериал,16+,ТВ Сериал,25
532,Паучонок,Комедия;Сверхъестественное,7.6,385.0,,Production I.G,Спешл,16+,Спешл,1
533,Волейбол!! 3,Драма;Комедия;Сёнэн;Спорт;Школа,9.3,11435.0,Осень 2016,Production I.G,ТВ Сериал,16+,ТВ Сериал,10
534,Доктор Стоун: Новый мир,Комедия;Приключения;Сёнэн;Фантастика,9.2,14493.0,Весна 2023,TMS Entertainment,ТВ Сериал,16+,ТВ Сериал,11
535,"История о дедушке и бабушке, которые снова стали молодыми",Комедия;Романтика;Сверхъестественное,8.6,4258.0,Весна 2024,,ТВ Сериал,16+,ТВ Сериал,11
536,Аватар короля 2,Игры;Экшен,8.9,6623.0,,G.CMay Animation & Film,ONA,12+,ONA,12
537,Атака титанов 3,Военное;Детектив;Драма;Сёнэн;Супер сила;Фэнтези;Экшен,9.3,27326.0,Лето 2018,Wit Studio,ТВ Сериал,18+,ТВ Сериал,12
538,Убийственная любовь,Дзёсэй;Романтика;Экшен,8.5,4583.0,Зима 2022,Platinum Vision,ТВ Сериал,18+,ТВ Сериал,12
